dataset_id,dd_id,deployment
3224,452789,KM0715
3224,452930,KM0814
3224,454916,KM1125
3259,452915,LMG0103
3259,452916,LMG0201A
3265,452927,KM0715
3265,452928,KM0704
3265,452929,KM0817
3265,452931,KM0814
3267,452934,KM0715
3267,452997,KM0704
3267,454360,KM0814
3267,454527,MV1015
3267,454919,KM1125
3267,516952,KOK1115
3268,452935,KM0715
3269,452936,KM0715
3269,455009,MV1015
3270,452937,KM0715
3271,452938,KM0715
3271,455014,MV1015
3272,452939,KM0715
3273,452940,KM0715
3273,452941,KM0814
3286,452979,KM0715
3286,452980,KM0704
3286,452981,KM0814
3286,452982,KM0817
3286,516955,KOK1115
3338,453045,RISE2004
3339,453046,RISE2005a
3340,453047,RISE2005b
3341,453048,RISE2005b
3342,453049,RISE2006a
3343,453050,RISE2006b
3346,453072,JPT_2002-16
3346,453073,KY0202-02
3346,453074,SERIES_ElPuma
3390,453428,KM0715
3390,453429,KM0817
3390,453430,KM0704
3390,453431,KM0814
3392,453434,KM0814
3394,453436,KM0814
3394,454414,KM0812
3396,453439,KM0812
3396,453460,KM0814
3407,453457,KM0701
3415,454380,lab_MBL_1d_model
3417,454399,AUV_Monterey_Bay_Time_Series_Dorado
3418,454400,lab_MIT_Prochlorococcus
3422,454494,Biofloat_48
3512,454758,KN199-04
3610,455015,KM0715
3611,455016,KM0715
3657,455191,lab_UCSC_Carr
3695,455374,KN204-01
4052,456122,KOK1204
4052,456123,KOK1205
4052,456124,KM1211
4052,456125,KM1213
4052,456126,KM1215
4052,456127,KM1216
4052,456128,KM1217
4052,456129,KM1218
4052,456130,KM1219
4052,456131,KM1220
4052,456132,KM1222
472220,472227,TI700
473148,558240,lab_SMAST-model
473155,558241,lab_SMAST-model
516918,516944,KM0325
516918,516946,KOK0220
516918,516948,KM0608
516918,516949,KM0627
517315,517322,MV1015
517534,517544,KM1125
517545,517555,KM0715
517556,517566,KOK1012
517582,517592,KOK0220
517582,517593,KM0325
517594,517604,KM0608
517605,517615,KM0627
517616,517626,KM0814
522858,522879,TN303
522880,522894,TN303
522895,522906,TN303
535665,535672,TN303
539886,539895,lab_UCSB_MSI_Passow
540138,540145,lab_UCSB_MSI_Passow
540148,540155,lab_UCSB_MSI_Passow
540158,540165,lab_UCSB_MSI_Passow
540178,540185,lab_UCSB_MSI_Passow
